                  tag                   | count 
----------------------------------------+-------
 #coronavirus                           |  1615
 #COVID19                               |   811
 #Coronavirus                           |   224
 #lockdown                              |   135
 #covid19                               |   123
 #vaccine                               |    79
 #Covid                                 |    72
 #WearAMask                             |    69
 #Pandemic                              |    67
 #PresidentAkufoAddoSpeaksOnCoronavirus |    66
 #covid                                 |    64
 #pandemic                              |    63
 #Covid_19                              |    61
 #Lockdown                              |    60
 #COVID                                 |    59
 #Covid19UK                             |    54
 #Quarantine                            |    53
 #Covid19                               |    52
 #CovidVaccine                          |    48
 #covid_19                              |    47
 #DistanceLearning                      |    47
 #Outbreak                              |    47
 #SocialDistanacing                     |    47
 #CoronaVirus                           |    45
 #Florida                               |    39
 #StayHome                              |    39
 #HappyNewYear2021                      |    37
 #Lockdown3                             |    33
 #nationallockdown                      |    33
 #vaccination                           |    31
 #coronavirusuk                         |    30
 #Corona                                |    29
 #IndiaFightsCorona                     |    29
 #NewYear                               |    28
 #COVIDー19                             |    27
 #UnitedStates                          |    27
 #corona                                |    26
 #NewYear2021                           |    25
 #BorisJohnson                          |    24
 #CoronaVaccine                         |    24
 #CoronavirusStrain                     |    24
 #India                                 |    24
 #quarantine                            |    24
 #vaccinations                          |    24
 #india                                 |    23
 #NHS                                   |    23
 #Trump                                 |    22
 #cdnpoli                               |    21
 #London                                |    21
 #lockdownuk                            |    20
 #HimachalPradesh                       |    19
 #StayAtHome                            |    19
 #staysafe                              |    19
 #UKlockdown                            |    18
 #CoronaVirusUpdates                    |    16
 #Japan                                 |    16
 #Avengers                              |    15
 #China                                 |    15
 #cosplay                               |    15
 #COVIDSecondWave                       |    15
 #HappyNewYear                          |    15
 #Marvel                                |    15
 #pandemia                              |    15
 #PeterParker                           |    15
 #schoolsreopening                      |    15
 #SpiderMan                             |    15
 #Spidey                                |    15
 #StaySafe                              |    15
 #superhero                             |    15
 #COVIDIOTS                             |    14
 #Health                                |    14
 #UK                                    |    14
 #covid19tests                          |    13
 #Cyprus                                |    13
 #london                                |    13
 #uspoli                                |    13
 #covid19cyprus                         |    12
 #Cypruscoronavirus                     |    12
 #SARSCoV2                              |    12
 #sundayvibes                           |    12
 #trump                                 |    12
 #Welcome2021                           |    12
 #coronavirustests                      |    11
 #Israel                                |    11
 #level5                                |    11
 #lockdown3                             |    11
 #love                                  |    11
 #Pfizer                                |    11
 #schoolclosures                        |    11
 #virus                                 |    11
 #CapitolRiots                          |    10
 #COVID19DJ                             |    10
 #Cyprusfacemasks                       |    10
 #Djibouti                              |    10
 #FoxNews                               |    10
 #health                                |    10
 #hospital                              |    10
 #Ireland                               |    10
 #Malaysia                              |    10
 #MaskUp                                |    10
 #Mizoram                               |    10
 #Qatar                                 |    10
 #TamilNadu                             |    10
 #uk                                    |    10
 #Unite2FightCorona                     |    10
 #vaccines                              |    10
 #VaccineStrategy                       |    10
 #Weathercloud                          |    10
 #WHO                                   |    10
 #world                                 |    10
